dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema_1,table_name_1,column_name_1
postgresql,def,public,audit_logs,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,audit_logs,actor_id,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,auth_sessions,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,auth_sessions,userId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,auth_sessions,replacedBySessionId,3,uuid,,FOREIGN KEY,public,auth_sessions,id
postgresql,def,public,auto_schedule_rules,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,broker_proposals,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,broker_proposals,requestId,2,uuid,,FOREIGN KEY,public,project_requests,id
postgresql,def,public,broker_proposals,brokerId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,calendar_events,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,calendar_events,organizerId,2,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,calendar_events,previousEventId,3,uuid,,FOREIGN KEY,public,calendar_events,id
postgresql,def,public,contracts,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,contracts,projectId,2,uuid,,FOREIGN KEY,public,projects,id
postgresql,def,public,contracts,createdBy,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,digital_signatures,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,digital_signatures,contractId,2,uuid,,FOREIGN KEY,public,contracts,id
postgresql,def,public,digital_signatures,userId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_activities,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_activities,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_activities,actorId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_evidences,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_evidences,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_evidences,uploaderId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_evidences,flaggedById,4,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_hearings,id,1,uuid,,PRIMARY KEY,,,
postgresql,def,public,dispute_hearings,disputeId,2,uuid,,FOREIGN KEY,public,disputes,id
postgresql,def,public,dispute_hearings,moderatorId,3,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_hearings,hearingId,4,uuid,,FOREIGN KEY,public,dispute_hearings,id
postgresql,def,public,dispute_hearings,userId,5,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_hearings,participantId,6,uuid,,,,
postgresql,def,public,dispute_hearings,replyToStatementId,7,uuid,,,,
postgresql,def,public,dispute_hearings,retractionOfStatementId,8,uuid,,,,
postgresql,def,public,dispute_hearings,askedById,9,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_hearings,targetUserId,10,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_hearings,cancelledById,11,uuid,,FOREIGN KEY,public,users,id
postgresql,def,public,dispute_messages,id,1,uuid,,PRIMARY KEY,,,
